Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Winner
1930.0,France,4.0,1.0,Mexico,Home Team
1930.0,USA,3.0,0.0,Belgium,Home Team
1930.0,Yugoslavia,2.0,1.0,Brazil,Home Team
1930.0,Romania,3.0,1.0,Peru,Home Team
1930.0,Argentina,1.0,0.0,France,Home Team
1930.0,Chile,3.0,0.0,Mexico,Home Team
1930.0,Yugoslavia,4.0,0.0,Bolivia,Home Team
1930.0,USA,3.0,0.0,Paraguay,Home Team
1930.0,Uruguay,1.0,0.0,Peru,Home Team
1930.0,Chile,1.0,0.0,France,Home Team
1930.0,Argentina,6.0,3.0,Mexico,Home Team
1930.0,Brazil,4.0,0.0,Bolivia,Home Team
1930.0,Paraguay,1.0,0.0,Belgium,Home Team
1930.0,Uruguay,4.0,0.0,Romania,Home Team
1930.0,Argentina,3.0,1.0,Chile,Home Team
1930.0,Argentina,6.0,1.0,USA,Home Team
1930.0,Uruguay,6.0,1.0,Yugoslavia,Home Team
1930.0,Uruguay,4.0,2.0,Argentina,Home Team
1934.0,Austria,3.0,2.0,France,Home Team
1934.0,Hungary,4.0,2.0,Egypt,Home Team
1934.0,Switzerland,3.0,2.0,Netherlands,Home Team
1934.0,Sweden,3.0,2.0,Argentina,Home Team
1934.0,Germany,5.0,2.0,Belgium,Home Team
1934.0,Spain,3.0,1.0,Brazil,Home Team
1934.0,Italy,7.0,1.0,USA,Home Team
1934.0,Czechoslovakia,2.0,1.0,Romania,Home Team
1934.0,Czechoslovakia,3.0,2.0,Switzerland,Home Team
1934.0,Germany,2.0,1.0,Sweden,Home Team
1934.0,Italy,1.0,1.0,Spain,Other
1934.0,Austria,2.0,1.0,Hungary,Home Team
1934.0,Italy,1.0,0.0,Spain,Home Team
1934.0,Italy,1.0,0.0,Austria,Home Team
1934.0,Czechoslovakia,3.0,1.0,Germany,Home Team
1934.0,Germany,3.0,2.0,Austria,Home Team
1934.0,Italy,2.0,1.0,Czechoslovakia,Home Team
1938.0,Switzerland,1.0,1.0,Germany,Other
1938.0,Hungary,6.0,0.0,Dutch East Indies,Home Team
1938.0,France,3.0,1.0,Belgium,Home Team
1938.0,Cuba,3.0,3.0,Romania,Other
1938.0,Italy,2.0,1.0,Norway,Home Team
1938.0,Brazil,6.0,5.0,Poland,Home Team
1938.0,Czechoslovakia,3.0,0.0,Netherlands,Home Team
