Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Total Goals
2014.0,Brazil,3.0,1.0,Croatia,62103.0,4.0
2014.0,Mexico,1.0,0.0,Cameroon,39216.0,1.0
2014.0,Spain,1.0,5.0,Netherlands,48173.0,6.0
2014.0,Chile,3.0,1.0,Australia,40275.0,4.0
2014.0,Colombia,3.0,0.0,Greece,57174.0,3.0
2014.0,Uruguay,1.0,3.0,Costa Rica,58679.0,4.0
2014.0,England,1.0,2.0,Italy,39800.0,3.0
2014.0,C�te d'Ivoire,2.0,1.0,Japan,40267.0,3.0
2014.0,Switzerland,2.0,1.0,Ecuador,68351.0,3.0
2014.0,France,3.0,0.0,Honduras,43012.0,3.0
2014.0,Argentina,2.0,1.0,"rn"">Bosnia and Herzegovina",74738.0,3.0
2014.0,Germany,4.0,0.0,Portugal,51081.0,4.0
2014.0,IR Iran,0.0,0.0,Nigeria,39081.0,0.0
2014.0,Ghana,1.0,2.0,USA,39760.0,3.0
2014.0,Belgium,2.0,1.0,Algeria,56800.0,3.0
2014.0,Brazil,0.0,0.0,Mexico,60342.0,0.0
2014.0,Russia,1.0,1.0,Korea Republic,37603.0,2.0
2014.0,Australia,2.0,3.0,Netherlands,42877.0,5.0
2014.0,Spain,0.0,2.0,Chile,74101.0,2.0
2014.0,Cameroon,0.0,4.0,Croatia,39982.0,4.0
2014.0,Colombia,2.0,1.0,C�te d'Ivoire,68748.0,3.0
2014.0,Uruguay,2.0,1.0,England,62575.0,3.0
2014.0,Japan,0.0,0.0,Greece,39485.0,0.0
2014.0,Italy,0.0,1.0,Costa Rica,40285.0,1.0
2014.0,Switzerland,2.0,5.0,France,51003.0,7.0
2014.0,Honduras,1.0,2.0,Ecuador,39224.0,3.0
2014.0,Argentina,1.0,0.0,IR Iran,57698.0,1.0
2014.0,Germany,2.0,2.0,Ghana,59621.0,4.0
2014.0,Nigeria,1.0,0.0,"rn"">Bosnia and Herzegovina",40499.0,1.0
2014.0,Belgium,1.0,0.0,Russia,73819.0,1.0
2014.0,Korea Republic,2.0,4.0,Algeria,42732.0,6.0
2014.0,USA,2.0,2.0,Portugal,40123.0,4.0
2014.0,Australia,0.0,3.0,Spain,39375.0,3.0
2014.0,Netherlands,2.0,0.0,Chile,62996.0,2.0
2014.0,Cameroon,1.0,4.0,Brazil,69112.0,5.0
2014.0,Croatia,1.0,3.0,Mexico,41212.0,4.0
2014.0,Italy,0.0,1.0,Uruguay,39706.0,1.0
2014.0,Costa Rica,0.0,0.0,England,57823.0,0.0
2014.0,Japan,1.0,4.0,Colombia,40340.0,5.0
2014.0,Greece,2.0,1.0,C�te d'Ivoire,59095.0,3.0
2014.0,Nigeria,2.0,3.0,Argentina,43285.0,5.0
2014.0,"rn"">Bosnia and Herzegovina",3.0,1.0,IR Iran,48011.0,4.0
2014.0,Honduras,0.0,3.0,Switzerland,40322.0,3.0
2014.0,Ecuador,0.0,0.0,France,73749.0,0.0
2014.0,USA,0.0,1.0,Germany,41876.0,1.0
2014.0,Portugal,2.0,1.0,Ghana,67540.0,3.0
2014.0,Korea Republic,0.0,1.0,Belgium,61397.0,1.0
2014.0,Algeria,1.0,1.0,Russia,39311.0,2.0
2014.0,Brazil,1.0,1.0,Chile,57714.0,2.0
2014.0,Colombia,2.0,0.0,Uruguay,73804.0,2.0
2014.0,France,2.0,0.0,Nigeria,67882.0,2.0
2014.0,Brazil,2.0,1.0,Colombia,60342.0,3.0
2014.0,France,0.0,1.0,Germany,74240.0,1.0
2014.0,Brazil,1.0,7.0,Germany,58141.0,8.0
2014.0,Brazil,0.0,3.0,Netherlands,68034.0,3.0
2014.0,Germany,1.0,0.0,Argentina,74738.0,1.0
2014.0,Netherlands,0.0,0.0,Argentina,63267.0,0.0
2014.0,Netherlands,0.0,0.0,Costa Rica,51179.0,0.0
2014.0,Argentina,1.0,0.0,Belgium,68551.0,1.0
2014.0,Netherlands,2.0,1.0,Mexico,58817.0,3.0
2014.0,Costa Rica,1.0,1.0,Greece,41242.0,2.0
2014.0,Argentina,1.0,0.0,Switzerland,63255.0,1.0
2014.0,Belgium,2.0,1.0,USA,51227.0,3.0
2014.0,Brazil,1.0,1.0,Chile,57714.0,2.0
2014.0,Colombia,2.0,0.0,Uruguay,73804.0,2.0
2014.0,Netherlands,2.0,1.0,Mexico,58817.0,3.0
2014.0,Costa Rica,1.0,1.0,Greece,41242.0,2.0
2014.0,France,2.0,0.0,Nigeria,67882.0,2.0
2014.0,Argentina,1.0,0.0,Switzerland,63255.0,1.0
2014.0,Belgium,2.0,1.0,USA,51227.0,3.0
2014.0,France,0.0,1.0,Germany,74240.0,1.0
2014.0,Brazil,2.0,1.0,Colombia,60342.0,3.0
2014.0,Argentina,1.0,0.0,Belgium,68551.0,1.0
2014.0,Netherlands,0.0,0.0,Costa Rica,51179.0,0.0
2014.0,Brazil,1.0,7.0,Germany,58141.0,8.0
2014.0,Netherlands,0.0,0.0,Argentina,63267.0,0.0
2014.0,Brazil,0.0,3.0,Netherlands,68034.0,3.0
2014.0,Germany,1.0,0.0,Argentina,74738.0,1.0
