Year,Team Name,Team Goals
1938,Italy,2.0
1938,Italy,3.0
1938,Italy,2.0
1938,Italy,4.0
1950,Uruguay,8.0
1950,Uruguay,2.0
1950,Uruguay,3.0
1950,Uruguay,2.0
1958,Brazil,5.0
1958,Brazil,5.0
1958,Brazil,1.0
1958,Brazil,0.0
1958,Brazil,3.0
1958,Brazil,2.0
1962,Brazil,2.0
1962,Brazil,0.0
1962,Brazil,2.0
1962,Brazil,3.0
1962,Brazil,4.0
1962,Brazil,3.0
1970,Brazil,3.0
1970,Brazil,4.0
1970,Brazil,4.0
1970,Brazil,4.0
1970,Brazil,1.0
1970,Brazil,3.0
1982,Italy,3.0
1982,Italy,3.0
1982,Italy,2.0
1982,Italy,2.0
1982,Italy,1.0
1982,Italy,0.0
1982,Italy,1.0
1986,Argentina,1.0
1986,Argentina,2.0
1986,Argentina,1.0
1986,Argentina,2.0
1986,Argentina,2.0
1986,Argentina,3.0
1986,Argentina,3.0
1994,Brazil,1.0
1994,Brazil,3.0
1994,Brazil,3.0
1994,Brazil,1.0
1994,Brazil,1.0
1994,Brazil,2.0
1994,Brazil,0.0
2002,Brazil,5.0
2002,Brazil,2.0
2002,Brazil,2.0
2002,Brazil,2.0
2002,Brazil,1.0
2002,Brazil,2.0
2002,Brazil,4.0
2006,Italy,1.0
2006,Italy,1.0
2006,Italy,1.0
2006,Italy,2.0
2006,Italy,2.0
2006,Italy,3.0
2006,Italy,2.0
2010,Spain,1.0
2010,Spain,2.0
2010,Spain,1.0
2010,Spain,1.0
2010,Spain,2.0
2010,Spain,0.0
2010,Spain,1.0
2014,Germany,1.0
2014,Germany,7.0
2014,Germany,1.0
2014,Germany,1.0
2014,Germany,2.0
2014,Germany,1.0
2014,Germany,2.0
2014,Germany,2.0
2014,Germany,4.0
2014,Germany,1.0
2014,Germany,7.0
